ts_iso,gps_lat,gps_lon,gps_ts,awa_deg,wind_spd,ch1_pwr,ch1_cur,ch2_pwr,ch2_cur,ch3_pwr,ch3_cur,heading,rotation_vector,geomag_rotation_vector,gyro_z_dps,heading_source,mode,auto_mode,wp_left,dist_m,brg_deg,err_deg,rudder_deg,sail_deg,thr_us,fix_q,awa_raw_deg,twd_deg,twa_deg,tws_mps,sail_state,sail_fault,sail_reason,beating,tacked,tack,xte_m,des_hdg_deg,motor_assist,propulsion,sailing,settled,session,sys_temp_c,sys_volts_v
2026-08-19T15:37:57.347147+00:00,47.6966237955,9.195476091833333,,62.867767776777676,3.0,-0.0844288,-0.0064,-0.0052768,-0.0004,0.7488512,0.056799999999999996,69.92570299208933,60.658638639700655,59.12936956080036,12.2,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,74.61770089864629,15.14992425037875,-36.003600360036,,1,85.19,150.3072797356241,78.95911059347469,2.5323397275242168,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,65.7,0.87
2026-08-19T15:37:57.479329+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,62.357767776777685,3.0,-0.08448000000000001,-0.0064,-0.0052768,-0.0004,0.6802944000000001,0.0516,67.94167552295306,57.48016962275494,58.029581354223744,9.51,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,77.97509941430769,16.799916000419998,-36.003600360036,,1,84.68,147.96642165988095,83.00892536729765,2.5573384844188065,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,63.7,0.87
2026-08-19T15:37:57.601830+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,61.91776777677767,3.0,-0.0844288,-0.0064,-0.0158304,-0.0012000000000000001,0.7383040000000002,0.05600000000000001,64.85688559197348,57.48016962275494,59.61504446351599,6.15,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,79.89843184742233,17.6999115004425,-36.003600360036,,1,84.24,145.45733806717726,83.85724029025539,2.5795581208811975,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.7,0.87
2026-08-19T15:37:57.722669+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,61.52776777677767,3.0,-0.08448000000000001,-0.0064,-0.005280000000000001,-0.0004,0.711936,0.054,64.12669171023987,54.81429166473157,60.60557142549741,7.72,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,80.76700934880489,17.999910000449997,-36.003600360036,,1,83.85,142.99048051204147,83.31371516823418,2.6002236152683675,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.7,0.936
2026-08-19T15:37:57.836916+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,60.89776777677768,3.0,-0.0844288,-0.0064,0.0,0.0,0.7172096000000001,0.054400000000000004,63.792153016909026,54.81429166473157,60.01974233875868,9.18,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,81.15283109791028,18.299908500457498,-36.003600360036,,1,83.22,140.7632870670007,81.95509922457603,2.618174564107697,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.2,0.936
2026-08-19T15:37:57.950995+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,60.63776777677767,3.0,-0.0949824,-0.0072,-0.0105536,-0.0008,0.7800192,0.0592,63.51322213356724,54.81429166473157,59.902094342737975,8.84,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,81.36900290059009,18.44990775046125,-36.003600360036,,1,82.96,138.78719337219184,80.36482727887255,2.6349811859101813,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.7,0.936
2026-08-19T15:37:58.065353+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,60.40776777677768,3.0,-0.079152,-0.006,-0.0052768,-0.0004,0.7066624000000001,0.0536,63.21985653562933,54.81429166473157,60.35053568987187,7.72,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,81.53550088436691,18.44990775046125,-36.003600360036,,1,82.73,137.02350129741473,78.81730700677525,2.6510532157912103,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.2,0.936
2026-08-19T15:37:58.181250+00:00,47.6966237955,9.195476091833333,2026-08-19T15:52:41+00:00,60.20776777677768,3.0,-0.0844288,-0.0064,-0.010560000000000002,-0.0008,0.711936,0.054,63.05791448765308,54.81429166473157,60.797586536641866,7.39,rm3100_calibrated,AUTO,AutoP2P,1,20.709721671504596,139.5751971912296,81.63891887000739,18.599907000465,-36.003600360036,,1,82.53,135.45792821299483,77.41823190613218,2.6661752506483736,SAILING,NOMINAL,on course,False,False,1,-19.531811677592604,87.99140614537475,False,sail,True,False,20260819_172759,64.7,0.936
2026-08-19T15:37:58.294551+00:00,47.69662281283333,9.195475417333334,,60.03776777677768,3.0,-0.0844288,-0.0064,-0.0158304,-0.0012000000000000001,0.7066624000000001,0.0536,63.13227900671177,54.81429166473157,58.01981596796643,11.3,rm3100_calibrated,AUTO,AutoP2P,1,20.65966885343713,139.271823246876,86.73172288026387,20.999895000524997,-36.003600360036,,1,82.36,134.0627626628725,76.12648434165033,2.6804885406903045,SAILING,NOMINAL,on course,False,False,1,-19.44796660925297,87.93164669923976,False,sail,True,False,20260819_172759,64.2,0.936
2026-08-19T15:37:58.410230+00:00,47.69662281283333,9.195475417333334,2026-08-19T15:52:42+00:00,59.87776777677768,3.0,-0.08970560000000001,-0.0068000000000000005,0.0369376,0.0028,0.764208,0.058,62.75349128503484,54.81429166473157,55.6856477800897,11.97,rm3100_calibrated,AUTO,AutoP2P,1,20.65966885343713,139.271823246876,89.38641996368438,22.199889000554997,-36.003600360036,,1,82.2,132.07670905550748,79.53660868889534,2.6940815075880407,SAILING,NOMINAL,on course,False,False,1,-19.44796660925297,87.93164669923976,False,sail,True,False,20260819_172759,64.2,0.936
